country,lat,lon,mean_err_km
"British Indian Ocean Territory",-7.323548444385743,72.43501618476016,2890.0
"Madagascar",-19.04163612493041,46.68493466832544,2763.2
"Canarias",28.297665106525546,-16.53799441021647,2729.1
"Cabo Verde",15.076411518651643,-23.63401005900474,2714.9
"Australia",-25.697337673983082,134.02277170916162,2714.9
"Bouvet Island",-54.42316679395248,3.411969465057627,2687.0
"Lesotho",-29.60168116924817,28.24475317864227,2631.0
"Cuba",21.476176522869448,-79.69817857618705,2562.5
"Cambodia",12.699186865507775,105.03973078680701,2561.0
"French Guiana",3.857429742497078,-53.32232307156624,2528.9
"Paraguay",-23.42190559259428,-58.38906357428651,2507.2
"Mayotte",-12.824468416301052,45.128142327031064,2500.0
"Bangladesh",23.673728665121,90.43212562608613,2419.4
"Guam",13.445430479945276,144.78024458298802,2416.3
"Haiti",18.883520486983567,-72.89291379842,2318.8
"Martinique",14.642697353597645,-61.01432380875083,2301.9
"Belize",17.24252476647155,-88.68273510023441,2299.7
"Northern Mariana Islands",15.178063516432115,145.74119737203134,2290.4
"Guadeloupe",16.24420002705553,-61.54382262282755,2266.3
"Singapore",1.3528251890006349,103.81025757634053,2252.4
"El Salvador",13.758041517055418,-88.85911489238985,2215.2
"Cook Islands",-21.222613253399842,-159.78768870952257,2207.3
"Philippines",15.586542251094242,121.82208941416745,2174.0
"Laos",18.117282736873282,103.76375899026448,2158.1
"Equatorial Guinea",1.5954643936590733,10.425456672353823,2089.1
"Panama",8.439536749576892,-80.14428761482796,2071.3
"North Korea",40.19198091470839,127.3379805653744,2071.0
"Guatemala",15.820878515352684,-90.31219349119617,2068.5
"Namibia",-21.90858163281473,18.16451345845268,2000.2
"Puerto Rico",18.216224086610914,-66.49425339593509,1993.7
"Eswatini",-26.562540935608702,31.510685746082007,1922.9
"Cayman Islands",19.311231805620288,-81.25203208977878,1913.5
"South Africa",-28.55361930679731,24.75252746489084,1912.0
"Tokelau",-9.195174767256544,-171.85265950722743,1906.3
"Falkland Islands",-51.75901312766726,-58.746646363799854,1896.6
"Bhutan",27.42163933959824,90.46716647173861,1877.6
"Iceland",65.12360920205514,-19.05682967106099,1866.6
"Burundi",-3.261251993278643,29.88518227845293,1832.1
"Botswana",-22.236609002062902,23.85779956995608,1813.2
"South Korea",36.402386712544114,127.76224551357649,1795.3
"Vietnam",16.517347170839393,105.91338832758704,1758.4
"Ethiopia",8.729389557048396,39.914902886544276,1744.6
"Zimbabwe",-18.92700121981475,29.717829640720844,1715.8
"Jamaica",18.12207889341651,-77.30358894542778,1679.8
"Mozambique",-17.525230309488748,35.208577031290176,1677.8
"Comoros",-11.658861474508491,43.34826587429403,1677.2
"Togo",8.660743037717811,0.8990857571109684,1670.3
"Myanmar",19.901227931399873,97.08892285397344,1651.5
"Bonaire",12.180844982440338,-68.29350445958761,1650.2
"Marshall Islands",7.307929900994344,168.72016025351076,1638.0
"Malawi",-13.128986464184024,34.23441182298881,1627.5
"Maldives",-0.6065577168009924,73.10076245140479,1606.6
"Guinea",10.255986541378112,-10.986948848040218,1600.4
"Angola",-12.167424062667942,17.651768783079,1592.3
"Norfolk Island",-29.037654445046282,167.95259597483337,1588.6
"Suriname",4.098723595920171,-55.855514311561286,1580.1
"Guinea-Bissau",11.980075324820504,-14.980186756910847,1576.1
"Papua New Guinea",-7.156912819152135,144.8348942994695,1557.7
"Ghana",7.94530467243628,-1.219233362526581,1538.5
"Bahamas",24.72162633646784,-78.07275370060313,1535.4
"Thailand",13.66222784745538,101.08675116214552,1518.5
"Aruba",12.515625722992898,-69.97564014284046,1515.1
"Senegal",14.228861491763402,-14.610875368352305,1513.8
"Portugal",39.67529214702138,-7.933662183874006,1494.6
"Burkina Faso",12.108709036312737,-1.6932816211842325,1479.9
"Mongolia",47.08644454604851,103.3987360327455,1476.2
"Honduras",14.740370695750006,-86.49251679006962,1442.1
"Malaysia",3.6716608556387857,114.63330303992869,1427.1
"Nauru",-0.5221021440668993,166.92937633139178,1415.1
"Bolivia",-16.7312488393574,-64.45209597511206,1413.9
"Fiji",-17.822470952336204,177.98144613732626,1403.1
"Bermuda",32.315067430740726,-64.7458500599169,1401.7
"Wallis and Futuna",-14.283442307826677,-178.12735555777184,1382.7
"Tonga",-21.15927212823853,-175.20415878511247,1367.7
"Saint Barthelemy",17.90561691241738,-62.83051610005156,1367.4
"Sao Tome and Principe",0.22744704294793774,6.606158796857607,1363.1
"South Georgia and South Sandwich Islands",-54.37666443862139,-36.77509575898928,1357.9
"Vanuatu",-15.189132121699332,166.84912735669738,1354.4
"Turks and Caicos Islands",21.799865427483745,-71.74058946811508,1333.6
"Nigeria",9.61029352034213,8.147714845256194,1300.1
